time-(s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
0,0.0010625,0,1.99646,0,0
0.00345302,0.0010625,0,1.99646,0,0
0.0074892,0.00110023,0.00934645,1.99634,-0.0310414,-7.69077
0.0127392,0.00110023,0,1.99634,0,5.91267
0.0172071,0.00139872,0.0668064,1.99535,-0.221772,-49.6359
0.0196917,0.00139872,0,1.99535,0,89.2599
0.0237172,0.00139872,0,1.99535,0,0
0.027344,0.00165497,0.0706551,1.9945,-0.234322,-64.6079
0.0322857,0.00207615,0.08523,1.9931,-0.282337,-9.71638
0.0355885,0.00207615,0,1.9931,0,85.4838
0.0393744,0.00207615,0,1.9931,0,0
0.0435269,0.00207615,0,1.9931,0,0
0.0483594,0.00240308,0.067653,1.99202,-0.223839,-46.3195
0.0526493,0.00286166,0.106897,1.99051,-0.353221,-30.1598
0.0557041,0.00286166,0,1.99051,0,115.626
0.0596089,0.00286166,0,1.99051,0,0
0.0634289,0.00286166,0,1.99051,0,0
0.0674038,0.00320975,0.0875719,1.98936,-0.288988,-72.7028
0.0721462,0.00320975,0,1.98936,0,60.9372
0.0752919,0.00367674,0.148452,1.98782,-0.4892,-155.514
0.0801954,0.00367674,0,1.98782,0,99.7643
0.0838866,0.00367674,0,1.98782,0,0
0.0874181,0.00402887,0.0997128,1.98666,-0.328146,-92.9209
0.0920277,0.00402887,0,1.98666,0,71.1878
0.0952966,0.00449402,0.142294,1.98513,-0.467654,-143.059
0.0995319,0.00449402,0,1.98513,0,110.419
0.103384,0.00449402,0,1.98513,0,0
0.107539,0.00484399,0.084239,1.98398,-0.276471,-66.5482
0.113226,0.00484399,0,1.98398,0,48.6165
0.115513,0.00530346,0.200874,1.98248,-0.65838,-287.831
0.119747,0.00530346,0,1.98248,0,155.496
0.123495,0.00564886,0.0921668,1.98135,-0.301692,-80.5057
0.127719,0.00564886,0,1.98135,0,71.4102
0.132442,0.00564886,0,1.98135,0,0
0.135704,0.0061011,0.138637,1.97987,-0.453223,-138.938
0.13965,0.0061011,0,1.97987,0,114.848
0.144288,0.00634885,0.053422,1.97906,-0.174429,-37.611
0.147598,0.00634885,0,1.97906,0,52.702
0.153192,0.00634885,0,1.97906,0,0
0.155381,0.00632015,-0.0131129,1.97915,0.0428011,19.5514
0.15947,0.00632015,0,1.97915,0,-10.4677
0.163437,0.00632015,0,1.97915,0,0
0.167448,0.00589883,-0.105062,1.98053,0.343193,85.5799
0.172103,0.00589883,0,1.98053,0,-73.7123
0.175728,0.00542245,-0.131425,1.98209,0.429915,118.608
0.179492,0.00542245,0,1.98209,0,-114.22
0.183587,0.00542245,0,1.98209,0,0
0.187511,0.00475153,-0.170962,1.98429,0.560328,142.782
0.192098,0.00475153,0,1.98429,0,-122.164
0.195583,0.0041354,-0.176785,1.98631,0.580654,166.606
0.199321,0.0041354,0,1.98631,0,-155.341
0.203318,0.0041354,0,1.98631,0,0
0.207793,0.00339119,-0.166301,1.98876,0.547469,122.336
0.212311,0.00339119,0,1.98876,0,-121.174
0.215321,0.00290778,-0.160573,1.99035,0.529659,175.936
0.219397,0.00290778,0,1.99035,0,-129.946
0.223404,0.00290778,0,1.99035,0,0
0.227401,0.00285859,-0.0123078,1.99052,0.0406276,10.1661
0.232222,0.00285859,0,1.99052,0,-8.42711
0.23564,0.00289993,0.0120938,1.99038,-0.0399289,-11.6804
0.239528,0.00289993,0,1.99038,0,10.2694
0.243486,0.00314733,0.0625094,1.98956,-0.206295,-52.1244
0.247525,0.00314733,0,1.98956,0,51.0812
0.252418,0.00314733,0,1.98956,0,0
0.255526,0.00335828,0.0678731,1.98887,-0.223803,-72.0082
0.259412,0.00335828,0,1.98887,0,57.5924
0.263576,0.00335828,0,1.98887,0,0
0.267734,0.0036993,0.0820096,1.98774,-0.270168,-64.9714
0.27366,0.0036993,0,1.98774,0,45.5893
0.275221,0.00396347,0.169239,1.98688,-0.556973,-356.822
0.279588,0.00396347,0,1.98688,0,127.545
0.283469,0.00396347,0,1.98688,0,0
0.287808,0.00433111,0.0847396,1.98567,-0.278617,-64.2197
0.292313,0.00433111,0,1.98567,0,61.8506
0.295461,0.00460974,0.088507,1.98475,-0.290669,-92.3323
0.299496,0.00460974,0,1.98475,0,72.0244
0.304118,0.00460974,0,1.98475,0,0
0.307776,0.00498143,0.10161,1.98353,-0.333344,-91.126
0.312317,0.00498143,0,1.98353,0,73.4051
0.315557,0.00526127,0.0863729,1.98261,-0.28306,-87.3676
0.319449,0.00526127,0,1.98261,0,72.7341
0.323375,0.00526127,0,1.98261,0,0
0.327414,0.00562918,0.0910941,1.98141,-0.2982,-73.8335
0.331898,0.00562918,0,1.98141,0,66.511
0.33628,0.00590552,0.0630601,1.98051,-0.20623,-47.0615
0.339788,0.00590552,0,1.98051,0,58.7868
0.372381,0.00598445,0.00242173,1.98025,-0.0079148,-0.242835
0.375345,0.00598445,0,1.98025,0,2.67029
0.379297,0.00598445,0,1.98025,0,0
0.383466,0.00598445,0,1.98025,0,0
0.387633,0.00567436,-0.074418,1.98126,0.24332,58.3943
0.392038,0.00567436,0,1.98126,0,-55.2279
0.395417,0.00537222,-0.0894334,1.98225,0.292696,86.6376
0.399951,0.00537222,0,1.98225,0,-64.5557
0.403589,0.00537222,0,1.98225,0,0
0.40741,0.00492548,-0.116935,1.98372,0.383175,100.297
0.412347,0.00492548,0,1.98372,0,-77.6028
0.415442,0.00452366,-0.129842,1.98503,0.426079,137.681
0.419805,0.00452366,0,1.98503,0,-97.6612
0.423541,0.00452366,0,1.98503,0,0
0.427701,0.00399544,-0.126993,1.98677,0.417345,100.337
0.433843,0.00399544,0,1.98677,0,-67.9425
0.435659,0.00368416,-0.171385,1.98779,0.564059,310.558
0.440143,0.00368416,0,1.98779,0,-125.795
0.443577,0.00376629,0.0239195,1.98752,-0.0787391,-22.9312
0.447503,0.00376629,0,1.98752,0,20.0544
0.452136,0.00376629,0,1.98752,0,0
0.455645,0.00393701,0.0486492,1.98696,-0.16011,-45.6278
0.459557,0.00393701,0,1.98696,0,40.9257
0.464626,0.00393701,0,1.98696,0,0
0.467587,0.00431491,0.127599,1.98572,-0.419538,-141.658
0.473408,0.00431491,0,1.98572,0,72.0851
0.475492,0.00466867,0.169709,1.98456,-0.557303,-267.357
0.479655,0.00466867,0,1.98456,0,133.877
0.483523,0.00516725,0.128888,1.98292,-0.422681,-109.267
0.488094,0.00516725,0,1.98292,0,92.4806
0.492918,0.00516725,0,1.98292,0,0
0.497319,0.00560116,0.0985904,1.9815,-0.322806,-73.3449
0.499738,0.00560116,0,1.9815,0,133.499
0.503761,0.00560116,0,1.9815,0,0
0.507572,0.00615983,0.146588,1.97968,-0.479199,-125.737
0.512231,0.00615983,0,1.97968,0,102.851
0.515584,0.00663796,0.142623,1.97812,-0.465436,-138.837
0.519396,0.00663796,0,1.97812,0,122.103
0.523775,0.00663796,0,1.97812,0,0
0.529218,0.00723538,0.109768,1.97617,-0.357565,-65.6973
0.532574,0.00723538,0,1.97617,0,106.553
0.535789,0.00756653,0.103007,1.97509,-0.335064,-104.224
0.539822,0.00756653,0,1.97509,0,83.0738
0.543522,0.00756653,0,1.97509,0,0
0.54746,0.00743601,-0.0331411,1.97552,0.107755,27.3598
0.552642,0.00719203,-0.0470835,1.97631,0.153193,8.76887
0.555793,0.00719203,0,1.97631,0,-48.6146
0.560436,0.00719203,0,1.97631,0,0
0.564446,0.00670266,-0.122047,1.9779,0.39758,99.154
0.567667,0.00670266,0,1.9779,0,-123.405
0.572611,0.00670266,0,1.9779,0,0
0.575613,0.00622958,-0.157603,1.97945,0.514178,171.296
0.579776,0.00622958,0,1.97945,0,-123.511
0.583523,0.00558357,-0.172409,1.98156,0.563566,150.405
0.587698,0.00558357,0,1.98156,0,-134.98
0.593863,0.00558357,0,1.98156,0,0
0.596091,0.00499939,-0.262168,1.98347,0.858656,385.348
0.600002,0.00499939,0,1.98347,0,-219.521
0.603438,0.00499939,0,1.98347,0,0
0.607627,0.00426541,-0.175187,1.98588,0.575058,137.254
0.612942,0.00426541,0,1.98588,0,-108.213
0.615493,0.00361048,-0.256699,1.98804,0.844501,331.006
0.61967,0.00361048,0,1.98804,0,-202.163
0.624264,0.00361048,0,1.98804,0,0
0.62775,0.00281241,-0.228943,1.99067,0.755044,216.598
0.632721,0.00281241,0,1.99067,0,-151.874
0.635492,0.00229788,-0.18569,1.99237,0.61375,221.498
0.639446,0.00229788,0,1.99237,0,-155.216
0.64341,0.00229788,0,1.99237,0,0
0.647558,0.00228112,-0.00404127,1.99243,0.0133659,3.2228
0.65205,0.00228112,0,1.99243,0,-2.97515
0.656175,0.00237664,0.023159,1.99211,-0.0765896,-18.5688
0.660157,0.00237664,0,1.99211,0,19.2313
0.663707,0.00272985,0.0995006,1.99094,-0.328867,-92.6434
0.667443,0.00272985,0,1.99094,0,88.0317
0.672129,0.00272985,0,1.99094,0,0
0.675545,0.00305165,0.094202,1.98988,-0.310999,-91.0404
0.679529,0.00305165,0,1.98988,0,78.0533
0.683416,0.00305165,0,1.98988,0,0
0.687791,0.00355092,0.114114,1.98823,-0.376247,-85.9949
0.692797,0.00355092,0,1.98823,0,75.158
0.695438,0.00396791,0.157891,1.98686,-0.519771,-196.811
0.699432,0.00396791,0,1.98686,0,130.146
0.703394,0.00396791,0,1.98686,0,0
0.707365,0.00453623,0.143106,1.98499,-0.470313,-118.427
0.712141,0.00453623,0,1.98499,0,98.4693
0.715533,0.00500276,0.137557,1.98346,-0.451318,-133.073
0.719617,0.00500276,0,1.98346,0,110.493
0.723383,0.00500276,0,1.98346,0,0
0.727601,0.00550691,0.119535,1.98181,-0.391577,-92.8431
0.732443,0.00550691,0,1.98181,0,80.8742
0.735482,0.00588727,0.125165,1.98057,-0.409383,-134.715
0.739607,0.00588727,0,1.98057,0,99.2359
0.743587,0.00588727,0,1.98057,0,0
0.747591,0.00638974,0.125469,1.97893,-0.409805,-102.331
0.752905,0.00638974,0,1.97893,0,77.1199
0.75542,0.0065612,0.068174,1.97837,-0.222438,-88.4419
0.759721,0.0065612,0,1.97837,0,51.7198
0.763482,0.0065612,0,1.97837,0,0
0.767303,0.00620018,-0.0944692,1.97954,0.308316,80.677
0.772061,0.00620018,0,1.97954,0,-64.8109
0.775473,0.00572665,-0.138774,1.98109,0.453501,132.904
0.779548,0.00572665,0,1.98109,0,-111.287
0.78362,0.00572665,0,1.98109,0,0
0.78756,0.00500361,-0.183519,1.98346,0.600938,152.527
0.79205,0.00500361,0,1.98346,0,-133.814
0.795512,0.00432605,-0.195736,1.98568,0.642434,185.589
0.799575,0.00432605,0,1.98568,0,-158.122
0.803406,0.00432605,0,1.98568,0,0
0.8076,0.0034929,-0.198605,1.98842,0.653481,155.777
0.812667,0.0034929,0,1.98842,0,-128.99
0.815853,0.00295058,-0.170208,1.99021,0.561284,176.16
0.819509,0.00295058,0,1.99021,0,-153.528
