time-(s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
0.01,0.00110023,0.004876532540952379,1.99634,-0.016195924358095234,-1.1849572091428549
0.02,0.00139872,0.0,1.99535,0.0,82.4237735138492
0.03,0.0018813402936236517,0.07848862579071979,1.9937475463909182,-0.2601284714571908,-35.10552690572072
0.04,0.00207615,0.0,1.9931,0.0,0.0
0.05,0.002578456197114152,0.08266120681134762,1.9914425259330053,-0.2733189667125109,-40.13949491363434
0.06,0.00286166,0.0,1.99051,0.0,0.0
0.07,0.00320975,0.03963115970394718,1.98936,-0.13078315738866336,0.4576605263160758
0.08,0.00367674,0.0059156767207096395,1.98782,-0.019494173549505278,89.59169271540745
0.09,0.00402887,0.043862297066990734,1.98666,-0.14434693773863277,-1.0013728110900786
0.1,0.00449402,0.0,1.98513,0.0,97.00108927597935
0.11,0.00484399,0.04778530226833119,1.98398,-0.15683056901705617,-16.71167341304718
0.12,0.005326775421558164,0.006221504909284711,1.9824037219850588,-0.02036501494130124,139.56525557630798
0.13,0.00564886,0.0,1.98135,0.0,36.922233410967564
0.14,0.006119796097455801,0.004031414402760003,1.9798088745148772,-0.01316303363518821,103.34290081931812
0.15,0.00634885,0.0,1.97906,0.0,30.07236038612806
0.16,0.00632015,0.0,1.97915,0.0,-9.069192059490792
0.17,0.00589883,-0.04746410010741132,1.98053,0.15504508678839937,-1.7484983673470396
0.18,0.00542245,0.0,1.98209,0.0,-100.05058363858413
0.19,0.00475153,-0.07819452278177451,1.98429,0.25628256899934576,-0.9831175059953239
0.2,0.0041354,0.0,1.98631,0.0,-128.9520735551659
0.21,0.00339119,-0.08506454426737532,1.98876,0.2800356040283324,3.383682602922221
0.22,0.00290778,0.0,1.99035,0.0,-110.39086199151501
0.23,0.00285859,-0.005672667828251381,1.99052,0.018725270109935636,0.14250473138350195
0.24,0.002929432981303689,0.007454380192016142,1.9902822132390097,-0.024601121778676006,2.8288053562405535
0.25,0.00314733,0.0,1.98956,0.0,25.243070018393468
0.26,0.00335828,0.0,1.98887,0.0,49.45975561959609
0.27,0.0036993,0.050650546068174214,1.98774,-0.16686042524468467,-22.694898785015276
0.28,0.00396347,0.0,1.98688,0.0,114.00505153310934
0.29,0.00433111,0.043507812386237875,1.98567,-0.1430501933407337,-2.8776139622646895
0.3,0.00460974,0.0,1.98475,0.0,64.17059264387707
0.31,0.00498143,0.05184548998018068,1.98353,-0.17008545430521943,-10.545254261176126
0.32,0.00526127,0.0,1.98261,0.0,62.526130285277304
0.33,0.00562918,0.038558564183764334,1.98141,-0.12622292595896473,7.105589429081405
0.34,0.0059060333973552604,1.5752055962940185e-05,1.9805083088393214,-5.148153284448679e-05,58.402843855429
0.35,0.005930250253735465,0.0007587735636486352,1.9804285371091952,-0.002479855723621633,40.29170496057438
0.36,0.005954467110115669,0.0015017950713343343,1.9803487653790692,-0.004908229914398793,22.180566065719667
0.37,0.005978683966495873,0.0022448165790200335,1.980268993648943,-0.007336604105175953,4.069427170864948
0.38,0.00598445,0.0,1.98025,0.0,0.0
0.39,0.00567436,-0.034429939614074714,1.98126,0.11257347559591305,-2.659899182747189
0.4,0.00537222,0.0,1.98225,0.0,-63.6862032160524
0.41,0.00492548,-0.05558971946526306,1.98372,0.18215752987644562,6.968970427386196
0.42,0.00452366,0.0,1.98503,0.0,-92.56378725910064
0.43,0.00399544,-0.07945849869749262,1.98677,0.26112940980136745,37.34862968088564
0.44,0.00368416,-0.005465667930419443,1.98779,0.017988500669046115,-111.87919290811732
0.45,0.00376629,0.0,1.98752,0.0,9.245887848046502
0.46,0.00393701,0.0,1.98696,0.0,37.34904087591219
0.47,0.00431491,0.07470492904999163,1.98572,-0.24562540869266525,-53.05430642501325
0.48,0.004713140036194414,0.011495956566700662,1.9844137228541883,-0.03770034772492088,112.19016442606087
0.49,0.00516725,0.0,1.98292,0.0,55.9407941127695
0.5,0.00560116,0.0,1.9815,0.0,124.80480710912306
0.51,0.00615983,0.07019485468984754,1.97968,-0.22946833419188645,-6.610220862846006
0.52,0.00663796,0.0,1.97812,0.0,105.26120689655045
0.53,0.00723538,0.08419035518474197,1.97617,-0.2742468146603041,-25.56031114421652
0.54,0.00756653,0.0,1.97509,0.0,79.07727664864832
0.55,0.00731642119258973,-0.03997508224623721,1.9759072250096488,0.13002681011192668,18.247302470088453
0.56,0.00719203,0.0,1.97631,0.0,-4.565144432478853
0.57,0.00670266,0.0,1.9779,0.0,-65.17201759708881
0.58,0.0061909607739524955,-0.010306809714438156,1.9795761382439283,0.033690628235921866,-107.13598425407002
0.59,0.00558357,0.0,1.98156,0.0,-84.57870884022874
0.6,0.00499939,-0.0001340669905433578,1.98347,0.0004390979289310426,-219.21168320121848
0.61,0.00426541,-0.09697086622765834,1.98588,0.3183105618062113,27.65979661335949
0.62,0.00361048,0.0,1.98804,0.0,-187.6410605137161
0.63,0.00281241,-0.1253176228123115,1.99067,0.41329203862401964,49.81827761013898
0.64,0.00229788,0.0,1.99237,0.0,-133.52335015136057
0.65,0.00228112,-0.0018443017586820768,1.99243,0.0060997540071236955,-0.14661093054322594
0.66,0.00237664,0.0009130996986436712,1.99211,-0.003019730587643654,17.74093945253679
0.67,0.00272985,0.0,1.99094,0.0,39.99562298335375
0.68,0.00305165,0.0,1.98988,0.0,68.59533645484944
0.69,0.00355092,0.0637588609668415,1.98823,-0.2102203074310883,-14.882883200162226
0.7,0.00396791,0.0,1.98686,0.0,111.48801716305175
0.71,0.00453623,0.06415199874372035,1.98499,-0.21083336118091028,1.2383581448884655
