time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s)
0.01,-30.33073054561097,0.6151446364288744,0.0,0.0,0.0,-0.06198930584064855,1.972801262565857,0.0,0.0,0.0,0.0,-0.03477107335244302
0.02,-30.317717882628873,0.6143211060432157,0.0,0.0,0.0,-0.062251681106841664,1.9735326418483956,0.0,0.0,0.0,0.0,-0.04234138631418734
0.03,-30.290970773592218,0.6125997499133201,0.0,0.0,0.0,-0.06290850527829334,1.9749046729620037,0.0,0.0,0.0,0.0,-0.051616098207256635
0.04,-30.27850148043446,0.6117852035411397,0.0,0.0,0.0,-0.06325027728016665,1.9754788193721173,0.0,0.0,0.0,0.0,-0.05405335360809404
0.05,-30.25287349793034,0.6100894692269098,0.0,0.0,0.0,-0.06398120052682192,1.9765301087092864,0.0,0.0,0.0,0.0,-0.05763041658025672
0.06,-30.23895396825397,0.6091589541446208,0.0,0.0,0.0,-0.06440184126984126,1.9770317636684305,0.0,0.0,0.0,0.0,-0.058274489241622575
0.07,-30.21174118883792,0.6073195311544343,0.0,0.0,0.0,-0.06522650777905199,1.9778654281345565,0.0,0.0,0.0,0.0,-0.05949579455275229
0.08,-30.200439214631523,0.606545342119419,0.0,0.0,0.0,-0.06557805250134481,1.9781631253362022,0.0,0.0,0.0,0.0,-0.059582478967186665
0.09,-30.17205950445219,0.6045864564459931,0.0,0.0,0.0,-0.06645130271432874,1.9787826158213964,0.0,0.0,0.0,0.0,-0.060275624656944984
0.1,-30.160138216353023,0.6037552804019345,0.0,0.0,0.0,-0.06682111816974466,1.9789877622973413,0.0,0.0,0.0,0.0,-0.06042275772922044
0.11,-30.134450252951098,0.6019482578227469,0.0,0.0,0.0,-0.06761277108862657,1.9793288101929922,0.0,0.0,0.0,0.0,-0.06107108384860408
0.12,-30.120819088319088,0.6009802934472934,0.0,0.0,0.0,-0.06804660313390314,1.979464017094017,0.0,0.0,0.0,0.0,-0.06065715555555555
0.13,-30.09379150903741,0.5990381353509878,0.0,0.0,0.0,-0.06888947978142076,1.9796232324506096,0.0,0.0,0.0,0.0,-0.060954250987809995
0.14,-30.081593581878245,0.5981593393109957,0.0,0.0,0.0,-0.06923406852288816,1.9796528315243038,0.0,0.0,0.0,0.0,-0.048638068853232574
0.15,-30.056112912533813,0.59635318503156,0.0,0.0,0.0,-0.0694810785572588,1.9795969756537422,0.0,0.0,0.0,0.0,0.01562028717763738
0.16,-30.04163959121877,0.5953592788291698,0.0,0.0,0.0,-0.06924964042392127,1.9795255134998737,0.0,0.0,0.0,0.0,0.052362680015139995
0.17,-30.01447865497076,0.5935637777777778,0.0,0.0,0.0,-0.06824523157894737,1.9795040643274853,0.0,0.0,0.0,0.0,0.08990514678362575
0.18,-30.00212813121272,0.5927711282306163,0.0,0.0,0.0,-0.06765896998011929,1.9795567992047713,0.0,0.0,0.0,0.0,0.0998894346421471
