time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s)
0.00276446,-30.3436,0.615956,0,0,0,-0.0617116,1.97205,0,0,0,0,-0.0283451
0.00675011,-30.3436,0.615956,0,0,0,-0.0617116,1.97205,0,0,0,0,-0.0283451
0.0117249,-30.3239,0.614714,0,0,0,-0.0621367,1.9732,0,0,0,0,-0.0381817
0.0156918,-30.3239,0.614714,0,0,0,-0.0621367,1.9732,0,0,0,0,-0.0381817
0.0187423,-30.3239,0.614714,0,0,0,-0.0621367,1.9732,0,0,0,0,-0.0381817
0.0227501,-30.3042,0.613462,0,0,0,-0.0625031,1.97426,0,0,0,0,-0.051437
0.0267074,-30.3042,0.613462,0,0,0,-0.0625031,1.97426,0,0,0,0,-0.051437
0.0316105,-30.2845,0.612178,0,0,0,-0.0631068,1.97522,0,0,0,0,-0.0517037
0.0347972,-30.2845,0.612178,0,0,0,-0.0631068,1.97522,0,0,0,0,-0.0517037
0.0387721,-30.2845,0.612178,0,0,0,-0.0631068,1.97522,0,0,0,0,-0.0517037
0.0428047,-30.2648,0.610888,0,0,0,-0.063578,1.97607,0,0,0,0,-0.0594203
0.0471041,-30.2648,0.610888,0,0,0,-0.063578,1.97607,0,0,0,0,-0.0594203
0.0518875,-30.2451,0.609569,0,0,0,-0.064244,1.97683,0,0,0,0,-0.0564638
0.0549028,-30.2451,0.609569,0,0,0,-0.064244,1.97683,0,0,0,0,-0.0564638
0.058768,-30.2451,0.609569,0,0,0,-0.064244,1.97683,0,0,0,0,-0.0564638
0.062737,-30.2253,0.608248,0,0,0,-0.0647525,1.97748,0,0,0,0,-0.0622971
0.0667591,-30.2253,0.608248,0,0,0,-0.0647525,1.97748,0,0,0,0,-0.0622971
0.0714679,-30.2056,0.606899,0,0,0,-0.0654412,1.97804,0,0,0,0,-0.058227
0.0747201,-30.2056,0.606899,0,0,0,-0.0654412,1.97804,0,0,0,0,-0.058227
0.0789773,-30.2056,0.606899,0,0,0,-0.0654412,1.97804,0,0,0,0,-0.058227
0.0828812,-30.1859,0.605549,0,0,0,-0.0659636,1.97851,0,0,0,0,-0.0634012
0.08675,-30.1859,0.605549,0,0,0,-0.0659636,1.97851,0,0,0,0,-0.0634012
0.0913994,-30.1661,0.604172,0,0,0,-0.0666613,1.9789,0,0,0,0,-0.0589298
0.0946915,-30.1661,0.604172,0,0,0,-0.0666613,1.9789,0,0,0,0,-0.0589298
0.0987923,-30.1661,0.604172,0,0,0,-0.0666613,1.9789,0,0,0,0,-0.0589298
0.102783,-30.1464,0.602795,0,0,0,-0.0671894,1.97919,0,0,0,0,-0.0638631
0.106779,-30.1464,0.602795,0,0,0,-0.0671894,1.97919,0,0,0,0,-0.0638631
0.112116,-30.1266,0.601392,0,0,0,-0.0678909,1.97942,0,0,0,0,-0.0592369
0.114673,-30.1266,0.601392,0,0,0,-0.0678909,1.97942,0,0,0,0,-0.0592369
0.118867,-30.1266,0.601392,0,0,0,-0.0678909,1.97942,0,0,0,0,-0.0592369
0.122728,-30.1069,0.599989,0,0,0,-0.0684215,1.97957,0,0,0,0,-0.0640768
0.126834,-30.1069,0.599989,0,0,0,-0.0684215,1.97957,0,0,0,0,-0.0640768
0.131592,-30.0872,0.59856,0,0,0,-0.0691248,1.97965,0,0,0,0,-0.0593841
0.134823,-30.0872,0.59856,0,0,0,-0.0691248,1.97965,0,0,0,0,-0.0593841
0.1388,-30.0872,0.59856,0,0,0,-0.0691248,1.97965,0,0,0,0,-0.0593841
0.143038,-30.0674,0.597145,0,0,0,-0.0695107,1.97966,0,0,0,0,-0.0214327
0.146823,-30.0674,0.597145,0,0,0,-0.0695107,1.97966,0,0,0,0,-0.0214327
0.152368,-30.0477,0.595763,0,0,0,-0.069459,1.97955,0,0,0,0,0.043238
0.154722,-30.0477,0.595763,0,0,0,-0.069459,1.97955,0,0,0,0,0.043238
0.158787,-30.0477,0.595763,0,0,0,-0.069459,1.97955,0,0,0,0,0.043238
0.16275,-30.0279,0.594444,0,0,0,-0.068775,1.97947,0,0,0,0,0.0730493
0.166738,-30.0279,0.594444,0,0,0,-0.068775,1.97947,0,0,0,0,0.0730493
0.171526,-30.0082,0.593152,0,0,0,-0.0679974,1.97952,0,0,0,0,0.0977905
0.174824,-30.0082,0.593152,0,0,0,-0.0679974,1.97952,0,0,0,0,0.0977905
0.178766,-30.0082,0.593152,0,0,0,-0.0679974,1.97952,0,0,0,0,0.0977905
0.18279,-29.9884,0.59191,0,0,0,-0.0668938,1.97964,0,0,0,0,0.104635
0.186796,-29.9884,0.59191,0,0,0,-0.0668938,1.97964,0,0,0,0,0.104635
0.191485,-29.9686,0.590688,0,0,0,-0.0658727,1.97986,0,0,0,0,0.116143
0.1948,-29.9686,0.590688,0,0,0,-0.0658727,1.97986,0,0,0,0,0.116143
0.198706,-29.9686,0.590688,0,0,0,-0.0658727,1.97986,0,0,0,0,0.116143
0.202719,-29.9489,0.589509,0,0,0,-0.0646275,1.98017,0,0,0,0,0.115357
0.206909,-29.9489,0.589509,0,0,0,-0.0646275,1.98017,0,0,0,0,0.115357
0.211613,-29.9291,0.58832,0,0,0,-0.0638148,1.98058,0,0,0,0,0.0370697
0.214716,-29.9291,0.58832,0,0,0,-0.0638148,1.98058,0,0,0,0,0.0370697
0.218782,-29.9291,0.58832,0,0,0,-0.0638148,1.98058,0,0,0,0,0.0370697
0.222712,-29.9093,0.587079,0,0,0,-0.0637385,1.98104,0,0,0,0,-0.000580213
0.226757,-29.9093,0.587079,0,0,0,-0.0637385,1.98104,0,0,0,0,-0.000580213
0.231453,-29.8896,0.585821,0,0,0,-0.0638163,1.98149,0,0,0,0,-0.0298192
0.234802,-29.8896,0.585821,0,0,0,-0.0638163,1.98149,0,0,0,0,-0.0298192
0.238791,-29.8896,0.585821,0,0,0,-0.0638163,1.98149,0,0,0,0,-0.0298192
0.242763,-29.8698,0.584525,0,0,0,-0.0642544,1.98192,0,0,0,0,-0.0392842
0.246753,-29.8698,0.584525,0,0,0,-0.0642544,1.98192,0,0,0,0,-0.0392842
0.251662,-29.85,0.583221,0,0,0,-0.0646303,1.98228,0,0,0,0,-0.0522949
0.254782,-29.85,0.583221,0,0,0,-0.0646303,1.98228,0,0,0,0,-0.0522949
0.25882,-29.85,0.583221,0,0,0,-0.0646303,1.98228,0,0,0,0,-0.0522949
0.262788,-29.8302,0.581886,0,0,0,-0.0652419,1.98259,0,0,0,0,-0.0523948
0.266924,-29.8302,0.581886,0,0,0,-0.0652419,1.98259,0,0,0,0,-0.0523948
0.272753,-29.8105,0.580547,0,0,0,-0.0657192,1.98284,0,0,0,0,-0.059989
0.274652,-29.8105,0.580547,0,0,0,-0.0657192,1.98284,0,0,0,0,-0.059989
0.278825,-29.8105,0.580547,0,0,0,-0.0657192,1.98284,0,0,0,0,-0.059989
0.282748,-29.7907,0.57918,0,0,0,-0.0663905,1.98303,0,0,0,0,-0.0569405
0.286837,-29.7907,0.57918,0,0,0,-0.0663905,1.98303,0,0,0,0,-0.0569405
0.291541,-29.7709,0.577811,0,0,0,-0.0669032,1.98316,0,0,0,0,-0.062702
0.294744,-29.7709,0.577811,0,0,0,-0.0669032,1.98316,0,0,0,0,-0.062702
0.298743,-29.7709,0.577811,0,0,0,-0.0669032,1.98316,0,0,0,0,-0.062702
0.303152,-29.7511,0.576414,0,0,0,-0.0675959,1.98323,0,0,0,0,-0.0585742
0.306852,-29.7511,0.576414,0,0,0,-0.0675959,1.98323,0,0,0,0,-0.0585742
0.311643,-29.7313,0.575018,0,0,0,-0.0681214,1.98325,0,0,0,0,-0.0637022
0.314833,-29.7313,0.575018,0,0,0,-0.0681214,1.98325,0,0,0,0,-0.0637022
0.318748,-29.7313,0.575018,0,0,0,-0.0681214,1.98325,0,0,0,0,-0.0637022
0.322737,-29.7115,0.573594,0,0,0,-0.068822,1.98313,0,0,0,0,-0.0591944
0.326721,-29.7115,0.573594,0,0,0,-0.068822,1.98313,0,0,0,0,-0.0591944
0.331333,-29.6918,0.572172,0,0,0,-0.0693525,1.9828,0,0,0,0,-0.0641119
0.335176,-29.6918,0.572172,0,0,0,-0.0693525,1.9828,0,0,0,0,-0.0641119
0.338789,-29.6918,0.572172,0,0,0,-0.0693525,1.9828,0,0,0,0,-0.0641119
0.342884,-29.672,0.570723,0,0,0,-0.0700566,1.98236,0,0,0,0,-0.0594533
0.346798,-29.672,0.570723,0,0,0,-0.0700566,1.98236,0,0,0,0,-0.0594533
0.351757,-29.6522,0.569301,0,0,0,-0.0702966,1.98201,0,0,0,0,0.0213794
0.354746,-29.6522,0.569301,0,0,0,-0.0702966,1.98201,0,0,0,0,0.0213794
0.358798,-29.6522,0.569301,0,0,0,-0.0702966,1.98201,0,0,0,0,0.0213794
0.362732,-29.6324,0.567947,0,0,0,-0.0697802,1.98172,0,0,0,0,0.0604902
0.366944,-29.6324,0.567947,0,0,0,-0.0697802,1.98172,0,0,0,0,0.0604902
0.371665,-29.6127,0.566623,0,0,0,-0.0690987,1.98149,0,0,0,0,0.0906012
0.374746,-29.6127,0.566623,0,0,0,-0.0690987,1.98149,0,0,0,0,0.0906012
0.378765,-29.6127,0.566623,0,0,0,-0.0690987,1.98149,0,0,0,0,0.0906012
0.382867,-29.5929,0.56535,0,0,0,-0.06805,1.98126,0,0,0,0,0.100541
0.386905,-29.5929,0.56535,0,0,0,-0.06805,1.98126,0,0,0,0,0.100541
0.391412,-29.5731,0.564099,0,0,0,-0.0670602,1.98126,0,0,0,0,0.113815
0.394759,-29.5731,0.564099,0,0,0,-0.0670602,1.98126,0,0,0,0,0.113815
0.398855,-29.5731,0.564099,0,0,0,-0.0670602,1.98126,0,0,0,0,0.113815
0.402807,-29.5534,0.562892,0,0,0,-0.0658326,1.9813,0,0,0,0,0.114045
0.406669,-29.5534,0.562892,0,0,0,-0.0658326,1.9813,0,0,0,0,0.114045
0.41153,-29.5336,0.561702,0,0,0,-0.0647384,1.98142,0,0,0,0,0.121723
0.414771,-29.5336,0.561702,0,0,0,-0.0647384,1.98142,0,0,0,0,0.121723
0.418827,-29.5336,0.561702,0,0,0,-0.0647384,1.98142,0,0,0,0,0.121723
0.422768,-29.5138,0.560553,0,0,0,-0.0634495,1.98159,0,0,0,0,0.118712
0.42677,-29.5138,0.560553,0,0,0,-0.0634495,1.98159,0,0,0,0,0.118712
0.432766,-29.494,0.559392,0,0,0,-0.0626107,1.98184,0,0,0,0,0.0390597
0.434808,-29.494,0.559392,0,0,0,-0.0626107,1.98184,0,0,0,0,0.0390597
0.438893,-29.494,0.559392,0,0,0,-0.0626107,1.98184,0,0,0,0,0.0390597
0.442729,-29.4742,0.558178,0,0,0,-0.0625189,1.98212,0,0,0,0,0.000598906
0.446781,-29.4742,0.558178,0,0,0,-0.0625189,1.98212,0,0,0,0,0.000598906
0.451495,-29.4544,0.556947,0,0,0,-0.0625875,1.98238,0,0,0,0,-0.0291271
