time-(s),x-position-(m),y-position-(m),z-position-(m),roll-(rad),pitch-(rad),yaw-(rad),x-velocity-(m/s),y-velocity-(m/s),z-velocity-(m/s),x-angular-velocity-(rad/s),y-angular-velocity-(rad/s),z-angular-velocity-(rad/s),steering-angle-(rad),steering-angle-velocity-(rad/s),speed-(m/s),acceleration-(m/s^2),jerk-(m/s^3)
0.01,-30.330730545611,0.615144636428874,0,0,0,-0.0619893058406486,1.97280126256586,0,0,0,0,-0.034771073352443,0.00110023,0.00487653254095238,1.99634,-0.0161959243580952,-1.18495720914285
0.02,-30.3177178826289,0.614321106043216,0,0,0,-0.0622516811068417,1.9735326418484,0,0,0,0,-0.0423413863141873,0.00139872,0,1.99535,0,82.4237735138492
0.03,-30.2909707735922,0.61259974991332,0,0,0,-0.0629085052782933,1.974904672962,0,0,0,0,-0.0516160982072566,0.00188134029362365,0.0784886257907198,1.99374754639092,-0.260128471457191,-35.1055269057207
0.04,-30.2785014804345,0.61178520354114,0,0,0,-0.0632502772801666,1.97547881937212,0,0,0,0,-0.054053353608094,0.00207615,0,1.9931,0,0
0.05,-30.2528734979303,0.61008946922691,0,0,0,-0.0639812005268219,1.97653010870929,0,0,0,0,-0.0576304165802567,0.00257845619711415,0.0826612068113476,1.99144252593301,-0.273318966712511,-40.1394949136343
0.06,-30.238953968254,0.609158954144621,0,0,0,-0.0644018412698413,1.97703176366843,0,0,0,0,-0.0582744892416226,0.00286166,0,1.99051,0,0
0.07,-30.2117411888379,0.607319531154434,0,0,0,-0.065226507779052,1.97786542813456,0,0,0,0,-0.0594957945527523,0.00320975,0.0396311597039472,1.98936,-0.130783157388663,0.457660526316076
0.08,-30.2004392146315,0.606545342119419,0,0,0,-0.0655780525013448,1.9781631253362,0,0,0,0,-0.0595824789671867,0.00367674,0.00591567672070964,1.98782,-0.0194941735495053,89.5916927154075
0.09,-30.1720595044522,0.604586456445993,0,0,0,-0.0664513027143287,1.9787826158214,0,0,0,0,-0.060275624656945,0.00402887,0.0438622970669907,1.98666,-0.144346937738633,-1.00137281109008
0.1,-30.160138216353,0.603755280401934,0,0,0,-0.0668211181697447,1.97898776229734,0,0,0,0,-0.0604227577292204,0.00449402,0,1.98513,0,97.0010892759793
0.11,-30.1344502529511,0.601948257822747,0,0,0,-0.0676127710886266,1.97932881019299,0,0,0,0,-0.0610710838486041,0.00484399,0.0477853022683312,1.98398,-0.156830569017056,-16.7116734130472
0.12,-30.1208190883191,0.600980293447293,0,0,0,-0.0680466031339031,1.97946401709402,0,0,0,0,-0.0606571555555556,0.00532677542155816,0.00622150490928471,1.98240372198506,-0.0203650149413012,139.565255576308
0.13,-30.0937915090374,0.599038135350988,0,0,0,-0.0688894797814208,1.97962323245061,0,0,0,0,-0.06095425098781,0.00564886,0,1.98135,0,36.9222334109676
0.14,-30.0815935818782,0.598159339310996,0,0,0,-0.0692340685228882,1.9796528315243,0,0,0,0,-0.0486380688532326,0.0061197960974558,0.00403141440276,1.97980887451488,-0.0131630336351882,103.342900819318
0.15,-30.0561129125338,0.59635318503156,0,0,0,-0.0694810785572588,1.97959697565374,0,0,0,0,0.0156202871776374,0.00634885,0,1.97906,0,30.0723603861281
0.16,-30.0416395912188,0.59535927882917,0,0,0,-0.0692496404239213,1.97952551349987,0,0,0,0,0.05236268001514,0.00632015,0,1.97915,0,-9.06919205949079
